business_name,phone,email,contact_url,website,address,suburb,state,postcode,google_rating,google_review_count,category,subcategory,search_query,google_maps_url
DB Projects,1300 186 710,hi@dbprojects.com.au,,https://www.dbprojects.com.au/,"101 Elizabeth St, Paddington NSW 2021",101 Elizabeth St,NSW,2021,4.9,,DBP Practitioners,DBP Design Practitioner - Class 1,DBP Design Practitioner - Class 1 Sydney NSW Australia,"https://www.google.com/maps/place/DB+Projects/@-33.8833036,151.2349571,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12afdb36b973ad:0x8e73ce17483cccca!8m2!3d-33.8833036!4d151.2349571!16s%2Fg%2F11b674py_f?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D"
DC Partnership,(02) 8399 3707,,,http://www.dcpartnership.com.au/,"Suite 6 Level 1/113 Reservoir St, Surry Hills NSW 2010",Suite 6 Level 1/113 Reservoir St,NSW,2010,3.7,,DBP Practitioners,DBP Design Practitioner - Class 1,DBP Design Practitioner - Class 1 Sydney NSW Australia,"https://www.google.com/maps/place/DC+Partnership/@-33.8814853,151.2124241,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12ae2058935213:0x293fa33a9c814f0c!8m2!3d-33.8814853!4d151.2124241!16s%2Fg%2F11bcf2v0k0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D"
DesignBuild Project Services Pty Ltd,(02) 9437 0055,user@domain.com,,http://www.designbuildps.com/,"Unit 9/2-8 Campbell St, Artarmon NSW 2064",Unit 9/2-8 Campbell St,NSW,2064,4.4,,DBP Practitioners,DBP Design Practitioner - Class 1,DBP Design Practitioner - Class 1 Sydney NSW Australia,"https://www.google.com/maps/place/DesignBuild+Project+Services+Pty+Ltd/@-33.8171933,151.1871185,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12a0b92c5910db:0x3b8283063bdc1f8f!8m2!3d-33.8171933!4d151.1871185!16s%2Fg%2F11b69_5sgs?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Design + Industry,(02) 9555 1166,info@design-industry.com.au,,https://www.design-industry.com.au/,"Level 2/34 James Craig Rd, Rozelle NSW 2039",Level 2/34 James Craig Rd,NSW,2039,5,,DBP Practitioners,DBP Design Practitioner - Class 1,DBP Design Practitioner - Class 1 Sydney NSW Australia,"https://www.google.com/maps/place/Design+%2B+Industry/@-33.8679277,151.1825025,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12afc86375f12d:0x8620befecc065137!8m2!3d-33.8679277!4d151.1825025!16s%2Fg%2F1tjg_j5n?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Design+Planning,(02) 9290 3636,admin@designandplanning.com.au,,http://www.designandplanning.com.au/,"Suite 304/171 Clarence St, Sydney NSW 2000",Suite 304/171 Clarence St,NSW,2000,5,,DBP Practitioners,DBP Design Practitioner - Class 1,DBP Design Practitioner - Class 1 Sydney NSW Australia,"https://www.google.com/maps/place/Design%2BPlanning/@-33.8684708,151.2050309,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12ae3f4f8ae3b9:0xb2e53b8a15548c9f!8m2!3d-33.8684708!4d151.2050309!16s%2Fg%2F11ckvltmjm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Design and Approval Group,1300 093 713,,,http://www.designandapproval.com.au/,"Suite 539/4 Columbia Ct, Baulkham Hills NSW 2153",Suite 539/4 Columbia Ct,NSW,2153,4.8,,DBP Practitioners,DBP Design Practitioner - Class 1,DBP Design Practitioner - Class 1 Sydney NSW Australia,"https://www.google.com/maps/place/Design+and+Approval+Group/@-33.7310415,150.9693732,17z/data=!3m1!4b1!4m6!3m5!1s0x292410ca01341621:0x249af80c92537377!8m2!3d-33.7310415!4d150.9693732!16s%2Fg%2F11ssb3qdlm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D"
dp Design Studio Pty. Ltd.,1300 373 374,admin@dpdesignstudio.com.au,,http://www.dpdesignstudio.com.au/,"8 Parramatta Sq, Parramatta NSW 2150",8 Parramatta Sq,NSW,2150,4.9,,DBP Practitioners,DBP Design Practitioner - Class 1,DBP Design Practitioner - Class 1 Sydney NSW Australia,"https://www.google.com/maps/place/dp+Design+Studio+Pty.+Ltd./@-33.8163072,151.0036056,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12a31d0c55ee37:0x9517a825d30268cc!8m2!3d-33.8163072!4d151.0036056!16s%2Fg%2F11jt9f5mxy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Building Designers Association of Australia,1300 669 854,admin@bdaa.com.au,,http://www.bdaa.com.au/,"Unit 1/6 Cowper Wharf Roadway, Woolloomooloo NSW 2011",Unit 1/6 Cowper Wharf Roadway,NSW,2011,4.8,,DBP Practitioners,DBP Design Practitioner - Class 1,DBP Design Practitioner - Class 1 Sydney NSW Australia,"https://www.google.com/maps/place/Building+Designers+Association+of+Australia/@-33.867183,151.2211899,17z/data=!3m1!4b1!4m6!3m5!1s0x6b731540db97e389:0xb69680f06ca60d60!8m2!3d-33.867183!4d151.2211899!16s%2Fg%2F11ckvfjwd8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D"
B.Product,(02) 8006 2474,hello@bproduct.com.au,,http://www.bproduct.com.au/,"Unit 15/8 Tilley Ln, Frenchs Forest NSW 2086",Unit 15/8 Tilley Ln,NSW,2086,5,,DBP Practitioners,DBP Design Practitioner - Class 1,DBP Design Practitioner - Class 1 Sydney NSW Australia,"https://www.google.com/maps/place/B.Product/@-33.7531673,151.2359273,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12aef27417b981:0xdf78c888571cacd7!8m2!3d-33.7531673!4d151.2359273!16s%2Fg%2F11ckqs269d?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Design Collaborative Pty Ltd,(02) 9262 3200,,,http://www.designcollaborative.com.au/,"Suite 2, Level 8/99 York St, Sydney NSW 2000",Level 8/99 York St,NSW,2000,,,DBP Practitioners,DBP Design Practitioner - Class 1,DBP Design Practitioner - Class 1 Sydney NSW Australia,"https://www.google.com/maps/place/Design+Collaborative+Pty+Ltd/@-33.8701325,151.2058716,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12ae3f2882e30f:0x2a448d5ddad80049!8m2!3d-33.8701325!4d151.2058716!16s%2Fg%2F1v2kxlj_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D"
