id,name,current_category,new_category
2,"Melbourne Waterproofing Specialists","Remedial Contractors","Licensed Waterproofers"
3,"Brisbane Facade Engineers","Remedial Contractors","Facade Engineers"
11,"Dulux Protective Coatings","Suppliers & Materials","Protective Coating Contractors"
28,"Titan Waterproofing","Waterproofing","Licensed Waterproofers"
29,"Superior Waterproofing","Waterproofing","Licensed Waterproofers"
30,"Blutec Waterproofing","Waterproofing","Licensed Waterproofers"
31,"Pro Waterproofing Melbourne","Waterproofing","Licensed Waterproofers"
32,"Sutech Building Consultants","Consultants & Practitioners","Remedial Consultants"
37,"Sydney Painters","Specialist Trades","Painters"
38,"Dukes Commercial Painting","Specialist Trades","Painters"
49,"Australian Passive Fire","Fire Services","Passive Fire Contractors"
55,"Curtis Strata Cleaning","Cleaning & Maintenance","Commercial Cleaners"
57,"Quikdeck Roofing Services","Roofing","Roofing Contractors"
58,"Black Cat Commercial Roofing","Roofing","Roofing Contractors"
64,"Enterprise Air Conditioning","HVAC & Mechanical","Air Conditioning Contractors"
65,"Austech Air Conditioning","HVAC & Mechanical","Air Conditioning Contractors"
73,"Melbourne Commercial Roofing","Roofing","Roofing Contractors"
74,"Watermaster Steel Roofing","Roofing","Metal Roofing Contractors"
77,"Earthform Landscaping","Landscaping & Grounds","Landscape Contractors"
85,"Pelham Strata Lawyers","Legal, Insurance & Finance","Strata Lawyers"
86,"G Brand and Sons Plumbing","Plumbing & Drainage","Commercial Plumbers"
90,"Patch and Caulk","Masonry & Brick Repair","Sealant Contractors"
93,"Habitat Building Consultancy","Consultants & Practitioners","Remedial Consultants"
96,"Bricklayers Sydney","Masonry & Brick Repair","Bricklayers"
99,"Australian Caulking Experts","Joints & Movement","Sealant Contractors"
103,"CGS Facade Engineering","Facade & External Envelope","Facade Engineers"
104,"Mainline Waterproofing","Waterproofing","Licensed Waterproofers"
121,"ATR Building Consulting","Quantity Surveyors","Remedial Consultants"
129,"Mitchell Brandtman","Quantity Surveyors","NDT Testing"
137,"ACME Building Consultants","Building Surveyors & Certifiers","Remedial Consultants"
139,"Asa Building Consultants","Building Surveyors & Certifiers","Remedial Consultants"
161,"Our Plumber","Leak Detection Specialists","Commercial Plumbers"
162,"Damien's Plumbing Services","Leak Detection Specialists","Commercial Plumbers"
163,"Highland Park Plumbing","Leak Detection Specialists","Commercial Plumbers"
164,"DCM Plumbing & Drainage Pty Ltd","Leak Detection Specialists","Drainage Contractors"
172,"Goldman Plumbing Services","Roof Leak Repair Contractors","Commercial Plumbers"
173,"Aussie Plumbing Services","Roof Leak Repair Contractors","Commercial Plumbers"
