id,name,current_category
4,"Ardex Australia","Suppliers & Materials"
5,"Sika Australia","Suppliers & Materials"
6,"Mapei Australia","Suppliers & Materials"
7,"Tremco CPG Australia","Suppliers & Materials"
8,"Parchem Construction Supplies","Suppliers & Materials"
9,"Fosroc Australia","Suppliers & Materials"
10,"Bostik Australia","Suppliers & Materials"
12,"Wattyl Industrial Coatings","Suppliers & Materials"
13,"Hilti Australia","Suppliers & Materials"
14,"Simpson Strong-Tie Australia","Suppliers & Materials"
15,"James Hardie Australia","Suppliers & Materials"
16,"CSR Building Products","Suppliers & Materials"
17,"Knauf Australia","Suppliers & Materials"
18,"ROCKWOOL Australia","Suppliers & Materials"
19,"Pacific Building Services","Remedial Contractors"
20,"BIM Sydney","Remedial Contractors"
22,"WS Remedial Group","Remedial Contractors"
23,"Danrae Group","Waterproofing"
25,"Ballestrin Construction Services","Remedial Contractors"
26,"Concrete Remedial Group","Remedial Contractors"
27,"Spartan Remedial Services","Remedial Contractors"
33,"Strata Engineering Solutions","Engineering Services"
34,"Landlay","Engineering Services"
36,"Rope Boys","Access Systems"
39,"TLC Epoxy Coatings","Specialist Trades"
41,"Netstrata","Strata Management & Advisory"
42,"Strata Choice","Strata Management & Advisory"
43,"Strata Republic","Strata Management & Advisory"
44,"Pobi Lawyers","Legal, Insurance & Finance"
45,"Total Relining Solutions","Plumbing & Drainage"
46,"Sydney Relining Company","Plumbing & Drainage"
47,"1300 FINDLEAK","Plumbing & Drainage"
48,"All Passive Services","Fire Services"
50,"Skyrise Elevators","Lifts & Vertical Transport"
51,"Elevator Services Group","Lifts & Vertical Transport"
52,"GPR Scanning Australia","Investigation & Testing"
53,"Absolute Environmental Services","Hazardous Materials"
56,"MSR Services","Cleaning & Maintenance"
59,"Endeavour Engineering Group","Engineering Services"
60,"Principal Built Engineering","Engineering Services"
61,"DDEG Building Compliance","Facade & External Envelope"
62,"Steve Watson and Partners","Building Surveyors & Certifiers"
63,"Grinsell and Johns","Building Surveyors & Certifiers"
66,"CFS Electrics","Electrical"
67,"AB Electrical and Communications","Electrical"
68,"Serious Security","Security & Access Control"
69,"Sydneywide Security","Security & Access Control"
70,"Melcorp Strata","Strata Management & Advisory"
71,"Australian Strata Management","Strata Management & Advisory"
72,"Keen to Clean","Cleaning & Maintenance"
76,"PureProtect","Hazardous Materials"
78,"Accord Property Services","Landscaping & Grounds"
81,"Epoxy Gurus Melbourne","Specialist Trades"
82,"Betta Fire Protection","Fire Services"
83,"Fire Rate","Fire Services"
84,"Bannermans Lawyers","Legal, Insurance & Finance"
87,"Sewer Surgeon","Plumbing & Drainage"
88,"TC Remedial","Investigation & Testing"
89,"BWR Australia","Investigation & Testing"
92,"Sydney Strata Engineers","DBP Practitioners"
94,"Strata Consulting Solutions Australia","Planning & Development"
95,"Propoint Masonry Restoration","Masonry & Brick Repair"
97,"Brick and Tuck Pointing","Masonry & Brick Repair"
98,"Sonaa Building Maintenance","Joints & Movement"
101,"Demlakian Consulting Engineers","DBP Practitioners"
102,"Prime Consulting Engineers","Facade & External Envelope"
105,"Southern Remedial Solutions","Remedial Contractors"
106,"Absolute Strata","Strata Management & Advisory"
107,"TITAN Lifts","Lifts & Vertical Transport"
109,"Diagnostech Pty Ltd","Remedial Consultants"
110,"Tagro Engineering Consultants","Remedial Consultants"
111,"JN","Structural Engineers"
112,"Jones Nicholson Pty Ltd","Structural Engineers"
113,"Ross Engineers","Structural Engineers"
115,"Aria Engineering Services","Structural Engineers"
116,"Ace Homes Estimating & Scheduling","Remedial Consultants"
117,"Schlager Group","Remedial Consultants"
118,"Venmash Holdings Pty Ltd","Remedial Consultants"
119,"All Portable Supplies","Remedial Consultants"
120,"DDH - D.Dyson - Holland & Associates Pty Ltd","Quantity Surveyors"
122,"Budget Tax Depreciation","Quantity Surveyors"
123,"Altus Group","Quantity Surveyors"
124,"Washington Brown","Quantity Surveyors"
125,"Koste Tax Depreciation Services","Quantity Surveyors"
126,"Donald Cant Watts Corke","Quantity Surveyors"
128,"Wilde And Woollard","Quantity Surveyors"
130,"Leary & Partners Pty Ltd","Quantity Surveyors"
133,"Builde Permits & Inspections","Building Surveyors & Certifiers"
136,"Permit Approvals Plus - Building Surveying Services","Building Surveyors & Certifiers"
138,"Metro Building Surveying Services Pty Ltd","Building Surveyors & Certifiers"
141,"Sky Living Strata","Strata Managers"
142,"Strata Excellence","Strata Managers"
143,"STM (Strata Title Management)","Strata Managers"
144,"Humanity Property Group Pty Ltd","Strata Managers"
145,"Strataspot","Strata Managers"
146,"Progressive Strata Services","Strata Managers"
147,"Bright & Duggan Pty Ltd","Strata Managers"
148,"Allan Dale Strata Pty Ltd","Strata Managers"
149,"UnitCare Services","Strata Managers"
150,"Best Strata","Strata Managers"
151,"Adcorp Property Group Pty Ltd","Strata Managers"
152,"Strata Data","Strata Managers"
153,"Stratarama","Strata Managers"
154,"LogiKal Projects Pty Ltd","Project Managers"
156,"Pantoro Limited","Project Managers"
157,"Allied Projects Pty Ltd","Project Managers"
158,"Advanced Procurement & Supplies","Project Managers"
159,"Yd; Pty Ltd","Project Managers"
165,"TMR Roof Inspection Melbourne","Roofing Contractors"
166,"RS Roof & Building Maintenance","Roofing Contractors"
171,"Roof Rite","Roofing Contractors"
176,"Ready Set Plumb","Roof Leak Repair Contractors"
179,"Mr Emergency","Roof Leak Repair Contractors"
186,"UniLodge @ Metro Adelaide","Roof Leak Repair Contractors"
187,"South East Australia Gas Pty Ltd","Roof Leak Repair Contractors"
192,"Westroof Pty Ltd","Roof Leak Repair Contractors"
195,"Stratco","Box Gutter Contractors"
196,"Stratco (QLD) Pty Ltd","Box Gutter Contractors"
198,"ozgutterpro","Box Gutter Contractors"
199,"Blue Mountain Mesh","Box Gutter Contractors"
200,"Fussy Gutters","Box Gutter Contractors"
201,"Leaf Shield Gutter Protection QLD","Box Gutter Contractors"
204,"Formplex Weatherboards","Cladding Contractors"
206,"ProSide Select","Cladding Contractors"
207,"Chelva Holdings Pty Ltd","Renderers"
208,"Windscreen Replacement Perth WA","Window Replacement Contractors"
209,"Rapid Glass","Glaziers"
210,"GRAPHIC GLASS SERVICES QLD","Glaziers"
211,"All Glass Works","Glaziers"
213,"Euroglass Australia Pty Ltd","Glaziers"
214,"Chelmer Glass & Aluminium","Glaziers"
215,"Frog Glass","Glaziers"
216,"Pizzey Streetscapes","Balustrade Contractors"
219,"Chatterton Lacework Pty Ltd","Balustrade Contractors"
220,"Downee","Balustrade Contractors"
221,"Drizign Pty Ltd","Balustrade Contractors"
222,"Ezywood","Balustrade Contractors"
224,"Teluta Pty Ltd","Bricklayers"
227,"Project Blueprint Sydney","Remedial Consultants"
229,"Effective Building & Consultancy","Remedial Consultants"
230,"PeL Contractors","Remedial Consultants"
231,"Anthony Grieve Pty Ltd","Remedial Consultants"
232,"Building Durability Pty Ltd","Remedial Consultants"
233,"Infinity Environmental Pty Ltd","Remedial Consultants"
235,"Project Planning Associates","Remedial Consultants"
236,"Donald Cant Watts Corke (NSW) Pty Ltd","Quantity Surveyors"
240,"Depreciator","Quantity Surveyors"
241,"Leary & Partners","Quantity Surveyors"
242,"Project Analysis Pty Ltd","Quantity Surveyors"
243,"Osborne+Song","Quantity Surveyors"
244,"Northcroft (Australia) Pty Ltd","Quantity Surveyors"
245,"Archi-QS","Quantity Surveyors"
246,"Asia Pacific Depreciation","Quantity Surveyors"
247,"Amoura ConSol","Quantity Surveyors"
250,"Michael Ell & Associates Pty Ltd","Project Managers"
251,"West and Associates Pty Ltd","Remedial Contractors"
252,"Association of Australian Acoustical Consultants","Consultants & Practitioners"
