id,name,current_category
19,"Pacific Building Services","Remedial Contractors"
20,"BIM Sydney","Remedial Contractors"
22,"WS Remedial Group","Remedial Contractors"
25,"Ballestrin Construction Services","Remedial Contractors"
26,"Concrete Remedial Group","Remedial Contractors"
27,"Spartan Remedial Services","Remedial Contractors"
105,"Southern Remedial Solutions","Remedial Contractors"
251,"West and Associates Pty Ltd","Remedial Contractors"
348,"Lightsource BP","Remedial Contractors"
351,"LECA (Lighting Energy Conservation Australia)","Remedial Contractors"
353,"Energus Pty Ltd","Remedial Contractors"
355,"Sunboost Australia","Remedial Contractors"
357,"Talentech Pty Ltd","Remedial Contractors"
358,"International Operations Group Pty Ltd","Remedial Contractors"
359,"Heavenly Connected","Remedial Contractors"
360,"Complete Business Group","Remedial Contractors"
361,"Global Anti-Scam Centre","Remedial Contractors"
362,"Bitlogic","Remedial Contractors"
374,"Doctor Damp","Remedial Contractors"
375,"Air Change Australia Pty Ltd","Remedial Contractors"
387,"PRO MAX VISION","Remedial Contractors"
403,"Affordable Openings","Remedial Contractors"
408,"Superior Doors","Remedial Contractors"
412,"EOS Australia","Remedial Contractors"
418,"Golden Harmony Care","Remedial Contractors"
528,"AAA Mr Rubbish","Remedial Contractors"
639,"Griffo Sawing","Remedial Contractors"
641,"Ultra-Grind","Remedial Contractors"
643,"Celtic Cut and Core","Remedial Contractors"
644,"All City Sawing and Drilling","Remedial Contractors"
645,"Direct Cut Pty Ltd","Remedial Contractors"
660,"Powershop Australia Pty Ltd","Remedial Contractors"
661,"Enphase Energy Australia Pty Ltd","Remedial Contractors"
662,"Green Home Green Planet","Remedial Contractors"
663,"Energy Locals","Remedial Contractors"
664,"Corrective Services Pty Ltd","Remedial Contractors"
668,"Milestone Systems Australia Pty Ltd","Remedial Contractors"
681,"Kaleya Filters Pty Ltd","Remedial Contractors"
702,"Volks Audi","Remedial Contractors"
703,"West Coast Windows","Remedial Contractors"
710,"PSA Products Pty Ltd","Remedial Contractors"
711,"Genie Systems","Remedial Contractors"
712,"Edac; Electronics Australasia Pty Ltd","Remedial Contractors"
713,"Thryv Data","Remedial Contractors"
714,"CAN Automotion Pty Ltd","Remedial Contractors"
715,"Djirra","Remedial Contractors"
716,"Djirra - Aboriginal Family Violence Supports","Remedial Contractors"
717,"500 Collins Street","Remedial Contractors"
828,"Bike Removals","Remedial Contractors"
952,"NOUS Australia","Remedial Contractors"
955,"Smart WiFi Brisbane","Remedial Contractors"
956,"Alarm Innovations","Remedial Contractors"
957,"ENTERSOFT AUSTRALIA","Remedial Contractors"
961,"Ness Corporation","Remedial Contractors"
974,"Polyaire Pty Ltd","Remedial Contractors"
975,"Clean Air (Aust) Pty Ltd","Remedial Contractors"
977,"Regent Sheet Metal Pty Ltd","Remedial Contractors"
994,"GC Door Control","Remedial Contractors"
997,"Sid's Door Services","Remedial Contractors"
999,"Ezi Roll Doors Australia","Remedial Contractors"
1000,"Magic Door Industries (Qld) Pty. Ltd.","Remedial Contractors"
1001,"Purple Patch Doors Pty Ltd","Remedial Contractors"
1002,"Doors Direct","Remedial Contractors"
1097,"Total Rubbish","Remedial Contractors"
1098,"Dump Runners","Remedial Contractors"
1100,"Visy Recycling","Remedial Contractors"
1101,"Diec Environmental Solutions","Remedial Contractors"
1198,"Enviro Chasing Services Pty Ltd","Remedial Contractors"
1275,"A West Bin","Remedial Contractors"
1277,"Allmetro Bins","Remedial Contractors"
1279,"Instant Waste Management","Remedial Contractors"
1281,"J.J. Richards & Sons Pty Ltd","Remedial Contractors"
1282,"Total Waste Disposals Pty Ltd","Remedial Contractors"
1284,"Arya Auto Removals","Remedial Contractors"
1285,"Apple Garden Bags","Remedial Contractors"
1286,"The Bin Guys","Remedial Contractors"
1351,"Supercore","Remedial Contractors"
1352,"Diamond Contractors Australia Pty Ltd","Remedial Contractors"
1364,"Optimus Energy","Remedial Contractors"
1365,"Sahara Pools Pty Ltd","Remedial Contractors"
1367,"Natural Technology Systems","Remedial Contractors"
1369,"Securing Australia","Remedial Contractors"
1384,"Holyoake","Remedial Contractors"
1385,"Metalflex (S.A.) Pty Ltd","Remedial Contractors"
1394,"Fire System Services","Remedial Contractors"
1407,"Best Doors Adelaide","Remedial Contractors"
1408,"Vulcan Doors","Remedial Contractors"
1412,"A-COM Solutions Pty Ltd","Remedial Contractors"
1413,"Short Engineering Pty Ltd","Remedial Contractors"
1414,"Adelab Scientific","Remedial Contractors"
1483,"Metro Waste","Remedial Contractors"
1484,"SA Skips","Remedial Contractors"
1485,"Blue Bins Waste Pty Ltd","Remedial Contractors"
1487,"Supreme Skips","Remedial Contractors"
1488,"Signal Waste & Recycling","Remedial Contractors"
1490,"Adelaide Trailer Bins","Remedial Contractors"
1529,"Van Dieman Diamond","Remedial Contractors"
