ID,Business Name,Slug,Status,Profile Status,Claimed,Featured,Confidence Score,Main Category,Secondary Categories,Suburb,City,State,Postcode,Service Radius (km),Services Nationwide,Services Statewide,All States,Description,Phone,Email,Website,ABN,Year Established,Google Business URL,Service Tags,Defect Tags,Repair System Tags,Capability Tags,Licences,Created At
80,Alltrade Scaffolding,alltrade-scaffolding,published,basic,No,No,55,Access Systems,,Melbourne,,VIC,3000,,No,No,VIC,Commercial and residential scaffolding hire and installation services across Melbourne.,1300 578 243,,https://www.alltradescaffolding.com.au,,,,,,,,,27/05/2026
36,Rope Boys,rope-boys,published,basic,No,No,55,Access Systems,,Sydney,,NSW,2000,,No,No,NSW,"Rope access technicians providing building maintenance, cleaning and remedial works for high-rise buildings in Sydney.",0402 375 162,,https://ropeboys.com.au,,,,,,,,,27/05/2026
35,SSS-AUS Scaffolding,sss-aus-scaffolding,published,basic,No,No,75,Access Systems,,North Rocks,,NSW,2151,,Yes,No,NSW,"Leading scaffold supplier providing steel, aluminium and fibreglass scaffolding solutions for commercial and industrial projects.",1300 216 847,info@sss-aus.com.au,https://sss-aus.com.au,,,,,,,,,27/05/2026
79,Western Scaffold,western-scaffold,published,basic,No,No,55,Access Systems,,Melbourne,,VIC,3000,,No,No,VIC,"Scaffolding hire services for builders, trades and owner builders in Melbourne, Geelong and regional Victoria.",03 8360 8047,,https://westernscaffold.com.au,,,,,,,,,27/05/2026
369,A Grade Air Con,a-grade-air-con,published,basic,No,No,60,Air Conditioning Contractors,,Eastgardens,,NSW,2036,,No,No,NSW,,0435 179 269,hello@agradeaircon.com.au,https://agradeaircon.com.au/,,,,,,,,,29/05/2026
671,A-Temp Heating And Airconditioning,a-temp-heating-and-airconditioning,published,basic,No,No,60,Air Conditioning Contractors,,Melbourne,,VIC,3000,,No,No,VIC,From Business: Having a strong relationship with the major suppliers in the industry allows us to carry an extensive range of quality brands ensuring we provide you with the…,(03) 9579 3633,accelairdigital@gmail.com,http://www.a-temp.com.au/,,,,,,,,,29/05/2026
6567,A.R.E.A Services,area-services,published,basic,No,No,60,Air Conditioning Contractors,,Kingston,,TAS,7050,,No,No,TAS,,0409 019 013,,,,,,,,,,,29/05/2026
2758,A1 Best Group,a1-best-group,published,basic,No,No,60,Air Conditioning Contractors,,Gladesville,,NSW,2111,,No,No,NSW,,(02) 9807 8477,,,,,,,,,,,29/05/2026
1378,ABA Air Conditioning,aba-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Stepney,,SA,5069,,No,No,SA,,(08) 7323 1251,admin@abaairconditioning.com.au,https://abaairconditioning.com.au/,,,,,,,,,29/05/2026
4633,Absolute Air & Electrical,absolute-air-and-electrical,published,basic,No,No,60,Air Conditioning Contractors,,Holland Park,,QLD,4121,,No,No,QLD,,0451 500 497,,,,,,,,,,,29/05/2026
