company_id,business_name,state,current_category,proposed_slug,proposed_category,confidence,reason
"2249","50 CAPITAL GROUP PTY LTD","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Capital group, likely finance"
"3015","A Banjo Paterson Cruise","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Cruise tourism"
"1412","A-COM Solutions Pty Ltd","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","electronics solutions provider"
"8672","AA Composites International Pty Ltd","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","low","Composites international unclear"
"7225","Aboriginal Heritage","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Aboriginal heritage land planning"
"14365","Acacia Cultural Heritage Consulting","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Cultural heritage consulting"
"11428","Access All Areas Training","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Hospitality training courses"
"4148","Access Business Insurance Consultants Pty Ltd","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Business insurance consultants"
"14481","Accessible Transit Specialists Perth","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Vehicle modification, accessible transport"
"7019","ACE Education & Visa","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Education and visa"
"14410","Acuity Law Partners","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Law partners"
"1414","Adelab Scientific","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","scientific products and services"
"15478","Adelaide Automotive Detailing","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Automotive detailing"
"10030","Adelaide Detailing Garage - Paint Protection | Ceramic Coating | Window Tinting","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Vehicle detailing coating tinting"
"10016","Adelaide Paint Protection","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Vehicle ceramic coating"
"10974","Adelaide Pond and Aquarium Services","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Pond and aquarium servicing"
"7819","Adero Law","ACT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","law firm"
"14400","Adrams Mediation Services","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Mediation services"
"14664","Advanced Body Image and Spa Lotus","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Beauty spa services"
"14969","Advanced Fibreglass Techniques","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","low","Fibreglass techniques non-building"
"3855","Advanced Time Systems","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","time/attendance systems, not building"
"7025","AEA Education & Migration","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Education and migration"
"14304","AEMS - Australian Education & Migration Service","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Education and migration service"
"14316","Aerodrome Management Services","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Aerodrome management services"
"4478","AEROLENS DRONE SERVICES","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Drone services, not building"
"8705","AG Composites","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Dirt track racing composites"
"5753","AGL Aviation","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Aviation, not building"
"7320","AH2 Legal","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","law firm"
"3188","AIB Insurance Brokers","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance brokers"
"14897","Airbrush Professionals","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Airbrush automotive likely"
"5417","Alco Battery Sales (Aust) Pty Ltd","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Battery sales retail"
"3573","AlertForce Melbourne","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","safety training provider"
"14619","All Body Coaching","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Coaching/fitness"
"4061","All Super Centre Pty Ltd","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","low","super centre, likely finance"
"14307","Ally Wealth Management","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Wealth management financial advice"
"14241","Alpha Allied Health","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Mobile healthcare services"
"5983","Altona Energy PLC","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","energy company, not building"
"123","Altus Group","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Real estate analytics/data firm"
"6940","AMC Consultants - Perth","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Mining consultancy"
"6714","ANCA Insurance Brokers","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokers"
